témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
comitologie          ==> commitology : 0.430011    imposed : 0.0969563       comitology : 0.0969563   
naturel              ==> uranium : 0.272743        natural : 0.272743        coal : 0.272743          
poulets              ==> irresponsible : 0.112349  incidents : 0.112349      dioxins : 0.112349       
unificatrice         ==> strength : 0.158608       basic : 0.158608          integration : 0.158608   
ressortira           ==> transpire : 0.222159      like : 0.222159           honour : 0.222159        
vigo                 ==> leader : 0.0878121        vigo : 0.0878121          swapped : 0.0878121      
classification       ==> amendment : 0.143658      shipping : 0.143658       registers : 0.143658     
réaliste             ==> realistic : 0.399996      statutory : 0.200001      must : 0.200001          
modifiés             ==> genetically : 0.337477    modified : 0.337477       into : 0.15355           
replace              ==> modest : 0.263544         field : 0.263542          yet : 0.263537           
attente              ==> outstanding : 0.165684    submitted : 0.0828422     eliminating : 0.0828422  
quadruple            ==> weights : 0.0598667       universal : 0.0598667     tariff : 0.0598667       
modifiée             ==> amended : 0.39525         with : 0.300856           when : 0.0835949         
unis                 ==> united : 0.692718         be : 0.127605             us : 0.120237            
sensibilisation      ==> move : 0.114866           awareness : 0.114866      act : 0.114866           
fondamental          ==> fundamental : 0.366789    indeed : 0.126642         forms : 0.126642         
interrogeront        ==> wonder : 0.132322         why : 0.132322            was : 0.132322           
leurs                ==> their : 0.745781          and : 0.251515            are : 0.00270414         
parviendrait         ==> terms : 0.132188          areas : 0.132188          applying : 0.132188      
corée                ==> korea : 0.597705          korean : 0.304868         unfair : 0.0951075       
renvoyés             ==> were : 0.199999           week : 0.0999994          up : 0.0999994           
capital              ==> relates : 0.0876751       resources : 0.0876751     adequacy : 0.0876751     
eurojust             ==> types : 0.111812          prosecutors : 0.111812    judges : 0.111812        
menacer              ==> wedge : 0.108705          opposite : 0.108705       farming : 0.108705       
populations          ==> of : 0.656087             s : 0.151973              people : 0.0688439       
99                   ==> there : 0.0982141         progress : 0.0685367      always : 0.0685367       
98                   ==> 98 : 0.988624             extend : 0.00716058       in : 0.00413029          
sortir               ==> what : 0.348013           is : 0.323254             we : 0.116008            
95                   ==> 95 : 0.780094             authority : 0.0286747     constitutional : 0.0143373
94                   ==> european : 0.203116       for : 0.115712            a : 0.108185             
97                   ==> ec : 0.151311             watch : 0.0760727         facilitate : 0.0760727   
fiches               ==> summarising : 0.101236    relationships : 0.101236  provide : 0.101236       
gouffre              ==> symbolic : 0.291507       gap : 0.291507            is : 0.264632            
derrière             ==> by : 0.407536             which : 0.255859          has : 0.251025           
avaient              ==> had : 0.676974            have : 0.211499           very : 0.108765          
préservation         ==> right : 0.196815          call : 0.0844842          aim : 0.0844842          
achevées             ==> tranche : 0.291814        membership : 0.291814     support : 0.162466       
rythme               ==> cope : 0.161534           adjusts : 0.161534        can : 0.161532           
couvert              ==> number : 0.373663         covered : 0.282307        a : 0.190712             
délicate             ==> most : 0.335262           rise : 0.167904           gave : 0.167904          
félicitons           ==> for : 0.215693            cause : 0.144976          us : 0.144976            
6ème                 ==> largest : 0.0609165       worldwide : 0.0609165     revision : 0.0609165     
canaries             ==> uniqueness : 0.0475353    separate : 0.0475353      réunion : 0.0475353      
abstraction          ==> have : 0.0500848          fact : 0.045751           actual : 0.044482        
utilise              ==> at : 0.468246             uses : 0.436775           yet : 0.018896           
constante            ==> integrated : 0.111111     shorelines : 0.111111     hits : 0.111111          
trouvons             ==> but : 0.15255             faced : 0.0979183         shameful : 0.0979183     
devions              ==> obtain : 0.0983339        mandatory : 0.0983339     idea : 0.0983339         
décents              ==> right : 0.20218           aim : 0.086787            wage : 0.086787          
délégation           ==> delegation : 0.603064     wish : 0.240617           was : 0.137788           
aidés                ==> who : 0.106181            jutta : 0.0756457         joan : 0.0756457         
inquiètent           ==> situation : 0.120116      noticed : 0.120116        nervous : 0.120116       
combler              ==> eu : 0.196128             business : 0.0980651      brave : 0.0980651        
éliminés             ==> struck : 0.166667         come : 0.166667           where : 0.166667         
promotion            ==> promotion : 0.483599      essential : 0.322236      in : 0.141008            
transatlantique      ==> umbrella : 0.0774159      transatlantic : 0.0774159 progress : 0.0774159     
sentir               ==> feeling : 0.106677        document : 0.106677       alienated : 0.106677     
prétends             ==> crime : 0.343261          moreover : 0.17163        eyes : 0.17163           
effective            ==> that : 0.291534           a : 0.116974              in : 0.115354            
helsinki             ==> helsinki : 0.72298        by : 0.233817             made : 0.00719318        
accéder              ==> access : 0.474151         on : 0.282981             replace : 0.0362538      
cultivateurs         ==> step : 0.2                though : 0.1              removed : 0.1            
cigarettes           ==> cigarettes : 0.344462     ² : 0.0358475             surface : 0.0358475      
enjeux               ==> business : 0.179061       football : 0.108925       expect : 0.108925        
chers                ==> ladies : 0.499965         gentlemen : 0.499965      and : 7.0755e-05         
peux                 ==> can : 0.759378            our : 0.126167            tell : 0.0705818         
vivons               ==> situations : 0.119901     rightly : 0.119901        respected : 0.119901     
substituer           ==> doing : 0.0708164         job : 0.0708164           help : 0.0708164         
concurrence          ==> competition : 1           that : 2.29301e-07        of : 1.58464e-08         
boire                ==> vines : 0.28212           traditional : 0.14106     future : 0.14106         
peut                 ==> can : 0.505222            cannot : 0.282469         be : 0.122846            
organismes           ==> oil : 0.371022            this : 0.277241           organisms : 0.065146     
continentale         ==> idea : 0.135188           welcome : 0.0675942       range : 0.0675942        
relève               ==> gain : 0.083176           acceptance : 0.083176     get : 0.083176           
voit                 ==> this : 0.324429           to : 0.211459             reflect : 0.0917527      
reprises             ==> were : 0.328573           occasions : 0.15327       happened : 0.15327       
légitime             ==> up : 0.241708             it : 0.150243             disapprove : 0.120854    
caractère            ==> be : 0.268183             should : 0.247814         here : 0.198255          
simulacre            ==> vulgar : 0.0995364        undertaking : 0.0995364   suicidal : 0.0995364     
commissaires         ==> commissioners : 0.579547  about : 0.0828731         proceedings : 0.0828731  
fin                  ==> end : 0.805251            on : 0.192373             a : 0.00207771           
encouragé            ==> unwilling : 0.0254797     totalitarian : 0.0254797  supposed : 0.0254797     
barrières            ==> than : 0.560501           obstacles : 0.0310191     includes : 0.0310191     
recours              ==> with : 0.523848           framework : 0.0564088     still : 0.034322         
dirons               ==> news : 0.153769           say : 0.153769            how : 0.0768846          
concentrions         ==> remit : 0.103836          process : 0.103836        imperative : 0.103836    
touchant             ==> arguments : 0.0732067     touching : 0.0732067      supplied : 0.0732067     
délibérément         ==> voluntarily : 0.0971899   transgressed : 0.0971899  she : 0.0971899          
halieutiques         ==> stocks : 0.587688         fisheries : 0.399762      whole : 0.00137034       
député               ==> member : 0.439986         this : 0.277681           have : 0.0534067         
évolutions           ==> developments : 0.446864   on : 0.303317             changes : 0.249028       
espèce               ==> of : 0.274151             sort : 0.0858427          hand : 0.0858427         
constatées           ==> reforming : 0.182956      recorded : 0.182956       previously : 0.182956    
suspens              ==> vacuum : 0.137139         left : 0.137139           deserve : 0.137139       
favorisant           ==> eating : 0.1303           relationship : 0.1303     made : 0.06515           
trentaine            ==> thirty : 0.118179         progress : 0.118179       areas : 0.118179         
prélevée             ==> promising : 0.129498      known : 0.129498          come : 0.129498          
stabiliser           ==> when : 0.100417           weight : 0.100417         use : 0.100417           
opposés              ==> for : 0.243204            same : 0.200376           mind : 0.200376          
slovénie             ==> slovenia : 0.616111       members : 0.205364        in : 0.0527947           
opposée              ==> value : 0.150465          sv : 0.150465             force : 0.150465         
aurais               ==> have : 0.533466           would : 0.451965          a : 0.014481             
aurait               ==> would : 0.515706          have : 0.483905           been : 0.000388812       
résolu               ==> tackling : 0.0987725      weaknesses : 0.0987725    unsolved : 0.0987725     
exigera              ==> all : 0.0910986           would : 0.0634453         parafiscal : 0.0555369   
gravement            ==> specifies : 0.0548054     pornography : 0.0548054   mental : 0.0548054       
toute                ==> any : 0.480458            to : 0.287047             a : 0.131032             
encourage            ==> their : 0.465471          direction : 0.0833592     moving : 0.0416796       
reporté              ==> uphold : 0.124999         postponed : 0.124999      include : 0.124999       
décennie             ==> decide : 0.0755676        alone : 0.0755676         union : 0.0755676        
correcte             ==> correct : 0.414236        their : 0.414236          is : 0.107721            
aboutir              ==> an : 0.383288             financial : 0.270886      with : 0.168409          
valoir               ==> smokescreen : 0.102909    serve : 0.102909          legs : 0.102909          
assurer              ==> be : 0.376142             are : 0.333967            sure : 0.25699           
attributions         ==> remit : 0.103836          process : 0.103836        imperative : 0.103836    
thèmes               ==> with : 0.323009           aware : 0.318816          topics : 0.31793         
instructif           ==> interesting : 0.462829    first : 0.462829          valuable : 0.0743398     
porcin               ==> sv : 0.172019             feed : 0.172019           favour : 0.172019        
environnementales    ==> talked : 0.0736821        swiss : 0.0736821         sweet : 0.0736821        
aboutit              ==> be : 0.265652             during : 0.164146         course : 0.164146        
obsolescent          ==> even : 0.16353            means : 0.108768          thing : 0.054538         
négative             ==> integration : 0.0718905   island : 0.0359453        unwavering : 0.0359453   
wiechert             ==> wiechert : 0.0905233      pigs : 0.0905233          lows : 0.0905233         
veulent              ==> have : 0.571012           with : 0.232813           it : 0.155738            
villes               ==> towns : 0.499901          cities : 0.499901         europe : 0.000160368     
rothe                ==> rothe : 0.530289          drafting : 0.240618       her : 0.0953843          
maladies             ==> animals : 0.4232          pollution : 0.165993      eur : 0.105882           
meurtrie             ==> low : 0.0955456           whilst : 0.0955456        ebb : 0.0955456          
dupuis               ==> dupuis : 0.280484         0779 : 0.280484           others : 0.280469        
171                  ==> highly : 0.150314         171 : 0.150314            presence : 0.150314      
extrêmement          ==> extremely : 0.607273      an : 0.357616             for : 0.0267839          
service              ==> service : 0.998482        for : 0.000685565         are : 0.000558838        
octroyer             ==> an : 0.312872             eu : 0.232854             use : 0.0620944          
engagement           ==> commitment : 0.910612     work : 0.0893869          and : 6.49546e-07        
recevons             ==> for : 0.188138            relaying : 0.131297       messages : 0.131297      
évolué               ==> incorporate : 0.166325    developing : 0.166325     delighted : 0.166325     
communautaires       ==> community : 0.950777      as : 0.0484956            both : 0.000627587       
entre                ==> between : 0.999464        and : 0.000535667         in : 1.46037e-07         
étiquetage           ==> labelling : 0.10138       allowed : 0.10138         specifications : 0.10138 
valait               ==> yardstick : 0.116929      repeatedly : 0.116929     sound : 0.116929         
délimitées           ==> internationally : 0.135646 enquiry : 0.135646        delineated : 0.135646    
nations              ==> nations : 0.563335        and : 0.398183            on : 0.0384822           
haye                 ==> hague : 0.802567          brought : 0.0152441       partners : 0.0152441     
constructif          ==> constructive : 0.611371   favourable : 0.305079     like : 0.0732019         
acquisition          ==> block : 0.219814          aim : 0.219814            takeover : 0.219814      
similaires           ==> involving : 0.122421      subsequently : 0.122421   seminars : 0.122421      
composés             ==> compound : 0.227319       has : 0.227266            yet : 0.0755877          
expéditeurs          ==> s : 0.0907582             shipper : 0.0826686       recipient : 0.0826686    
longs                ==> arrangements : 0.170077   long : 0.170077           let : 0.0850385          
efficacité           ==> efficiency : 0.927092     as : 0.0718167            extremely : 0.00108448   
voudrions            ==> would : 0.553849          like : 0.408413           to : 0.0377378           
affaire              ==> matter : 0.24536          issue : 0.184316          to : 0.109201            
demeurent            ==> worse : 0.072176          usa : 0.072176            since : 0.072176         
imprudent            ==> unwise : 0.142884         so : 0.142884             foolish : 0.142884       
attachée             ==> personally : 0.203295     important : 0.203295      extremely : 0.203295     
nettement            ==> on : 0.108581             whole : 0.0853923         neither : 0.0853923      
doit                 ==> must : 0.666593           be : 0.104827             should : 0.104543        
affirmation          ==> both : 0.340804           say : 0.287584            importance : 0.223819    
gallagher            ==> submitted : 0.0833333     regarding : 0.0833333     extend : 0.0833333       
dois                 ==> must : 0.510243           a : 0.379964              say : 0.082995           
enseignants          ==> is : 0.510803             teachers : 0.48918        it : 1.72055e-05         
attachés             ==> full : 0.426454           committed : 0.426454      are : 0.141117           
intrinsèque          ==> worthwhile : 0.166664     pursuit : 0.166664        means : 0.166664         
relever              ==> we : 0.377658             will : 0.375486           us : 0.175649            
circulations         ==> at : 0.192355             contribute : 0.0847998    vehicles : 0.0847998     
instigateur          ==> particular : 0.166726     driving : 0.166726        approving : 0.166726     
minimale             ==> minimal : 0.527565        as : 0.472435             and : 8.32899e-08        
prie                 ==> this : 0.60291            please : 0.181997         worthy : 0.0597374       
échangé              ==> great : 0.0762363         deal : 0.0762362          victims : 0.0381373      
prix                 ==> price : 0.626173          of : 0.180972             when : 0.144573          
concentre            ==> phasing : 0.2279          concentrate : 0.2279      would : 0.159917         
lettonie             ==> latvia : 0.571259         talks : 0.0684973         directed : 0.0684973     
ethnique             ==> ethnic : 0.767639         country : 0.229781        all : 0.00254036         
pris                 ==> its : 0.294926            one : 0.272578            taken : 0.259768         
muer                 ==> strikes : 0.0862418       providers : 0.0862418     flexible : 0.0862418     
liese                ==> regulations : 0.0545618   recommendation : 0.0545618 medicinal : 0.0545618    
vieilles             ==> regarded : 0.0456443      power : 0.0456443         off : 0.0456443          
reçues               ==> valdivielso : 0.10478     received : 0.10478        cué : 0.10478            
nordique             ==> nordic : 0.358189         united : 0.358189         on : 0.252371            
busk                 ==> busk : 0.395032           would : 0.382862          notably : 0.135897       
découle              ==> subsequently : 0.0601404  created : 0.0601404       followed : 0.0601404     
sien                 ==> his : 0.318246            too : 0.162226            robles : 0.162226        
semblant             ==> when : 0.0699657          at : 0.0689715            root : 0.0349845         
population           ==> people : 0.546652         population : 0.430589     we : 0.0225422           
tentés               ==> yards : 0.123675          reduction : 0.123675      marketing : 0.123675     
familles             ==> families : 0.773063       most : 0.226862           for : 4.20209e-05        
venez                ==> solbes : 0.14819          net : 0.14819             mira : 0.14819           
détricotage          ==> links : 0.0904125         constitute : 0.0904125    barnier : 0.0904125      
nés                  ==> enforced : 0.0588255      since : 0.0588255         unmarried : 0.0588255    
net                  ==> trends : 0.14819          government : 0.14819      solbes : 0.14819         
empreintes           ==> entire : 0.161303         convinced : 0.161303      when : 0.161303          
importer             ==> commercial : 0.131119     part : 0.131119           obvious : 0.131119       
reposer              ==> subsequently : 0.0254797  left : 0.0254797          form : 0.0254797         
avancées             ==> supported : 0.0803328     much : 0.0803328          forward : 0.0803328      
sauf                 ==> torres : 0.166147         reply : 0.166147          marques : 0.166147       
blanches             ==> went : 0.0588558          undermine : 0.0588558     through : 0.0588558      
prié                 ==> outstanding : 0.12283     higher : 0.12283          urged : 0.12283          
échange              ==> exchange : 0.410176       an : 0.296912             place : 0.185784         
fair                 ==> fair : 0.0738673          unfinished : 0.0738673    reminded : 0.0738673     
fais                 ==> am : 0.286877             present : 0.286558        call : 0.114861          
guerre               ==> war : 0.9082              a : 0.0917996             those : 2.97899e-08      
perçu                ==> activity : 0.221585       especially : 0.221585     covers : 0.221585        
quarante             ==> hand : 0.13889            forty : 0.13889           actually : 0.13889       
faim                 ==> strike : 0.395076         hunger : 0.395076         on : 0.209583            
commises             ==> committed : 0.701116      have : 0.0754777          recognising : 0.0241037  
dissipées            ==> lot : 0.166669            indeed : 0.166669         evaporate : 0.166669     
ambitions            ==> a : 0.213183              short : 0.0726575         expectation : 0.0726575  
kilomètres           ==> kilometres : 0.673863     who : 0.150733            acted : 0.0146169        
mené                 ==> disability : 0.129631     route : 0.0648155         legislate : 0.0648155    
révèlent             ==> shortages : 0.251681      reveal : 0.251681         external : 0.251681      
nature               ==> nature : 0.605321         by : 0.394613             more : 1.92363e-05       
novembre             ==> november : 0.7179         early : 0.0457577         probably : 0.0457577     
soyons               ==> be : 0.602621             on : 0.397377             let : 1.23379e-07        
souvenir             ==> welfare : 0.0630806       stressing : 0.0630806     implementation : 0.0630806
réglementant         ==> one : 0.239079            regulating : 0.11954      modifies : 0.11954       
suscité              ==> gave : 0.0598828          within : 0.0598828        followed : 0.0598828     
accident             ==> accident : 0.849081       were : 0.150919           like : 4.58555e-07       
davantage            ==> will : 0.505812           more : 0.489126           go : 0.00242149          
définies             ==> stringency : 0.166655     indicated : 0.166655      headings : 0.166655      
adapter              ==> careful : 0.0514946       strikes : 0.0514946       providers : 0.0514946    
amélioré             ==> organisations : 0.100944  improved : 0.100944       taken : 0.100944         
nourri               ==> her : 0.147572            reflections : 0.110767    gebhardt : 0.110767      
écourter             ==> items : 0.109755          how : 0.109755            down : 0.109755          
demander             ==> ask : 0.661124            not : 0.227981            would : 0.104381         
demandes             ==> from : 0.718568           by : 0.266319             admitted : 0.000934066   
entamée              ==> proposed : 0.35778        under : 0.351923          us : 0.285928            
compromis            ==> compromise : 0.844298     is : 0.0879266            on : 0.0520916           
scènes               ==> specifies : 0.0548054     pornography : 0.0548054   mental : 0.0548054       
déclarations         ==> declarations : 0.408676   us : 0.315693             need : 0.265433          
basque               ==> tortured : 0.146914       repression : 0.146914     jailed : 0.146914        
présidé              ==> unworkable : 0.0552843    understand : 0.0552843    text : 0.0552843         
solaire              ==> windmills : 0.0524691     sun : 0.0524691           shorter : 0.0524691      
berenguer            ==> such : 0.144606           plea : 0.144606           making : 0.144606        
union                ==> union : 0.944968          european : 0.0550317      the : 1.65604e-10        
parler               ==> to : 0.303563             about : 0.241187          discuss : 0.205247       
penser               ==> think : 0.453136          should : 0.453052         do : 0.0937745           
location             ==> unbundled : 0.0980762     local : 0.0980762         leasing : 0.0980762      
suivre               ==> follow : 0.467086         as : 0.356138             a : 0.107444             
suivra               ==> shall : 0.102311          volume : 0.0511553        suggestions : 0.0511553  
meilleurs            ==> than : 0.249443           guardians : 0.249443      better : 0.249443        
mccartin             ==> wrong : 0.142857          stick : 0.142857          mccartin : 0.142857      
meilleure            ==> best : 0.948587           are : 0.0477023           those : 0.00193526       
pétitions            ==> proved : 0.0789123        petitions : 0.0789123     herbert : 0.0789123      
dote                 ==> machinery : 0.118386      needed : 0.118386         equip : 0.118386         
évoquer              ==> s : 0.475934              up : 0.376298             moderation : 0.0363077   
réajustement         ==> having : 0.108029         adjusted : 0.108029       actual : 0.108029        
emploi               ==> employment : 0.743013     are : 0.256414            they : 0.000548174       
commerce             ==> trade : 0.552966          commerce : 0.30266        as : 0.105098            
tête                 ==> is : 0.342465             it : 0.294196             that : 0.114851          
administrative       ==> exist : 0.124278          creating : 0.124278       contribute : 0.124278    
confiance            ==> confidence : 0.545008     food : 0.245378           restore : 0.209267       
empêcher             ==> won : 0.0983212           forestall : 0.0983212     it : 0.0928823           
accomplissons        ==> namely : 0.0904762        completing : 0.0904762    step : 0.0904762         
caduque              ==> void : 0.104557           racist : 0.104557         null : 0.104557          
mouvements           ==> privatising : 0.0916404   privatised : 0.0916404    movements : 0.0916404    
rapprochement        ==> rapprochement : 0.500465  any : 0.249472            eyes : 0.249472          
hong                 ==> survey : 0.0532183        idea : 0.0532183          compared : 0.0532183     
alimentation         ==> food : 0.587573           animal : 0.377904         also : 0.0333132         
mentionne            ==> thereof : 0.0743334       stipulate : 0.0743334     geneva : 0.0743334       
principale           ==> original : 0.274934       main : 0.274934           about : 0.274934         
licenciements        ==> no : 0.233387             just : 0.180927           there : 0.172299         
voyager              ==> are : 0.120272            truth : 0.0774587         travel : 0.0774587       
étions               ==> too : 0.502159            advantageous : 0.0524439  developing : 0.0524439   
marches              ==> terms : 0.145834          backwards : 0.0729168     upholding : 0.0729168    
soumise              ==> on : 0.30472              project : 0.128635        proud : 0.128635         
licenciement         ==> no : 0.233387             just : 0.180927           there : 0.172299         
doté                 ==> with : 0.34793            70 : 0.0583983            line : 0.0583983         
négocier             ==> produced : 0.0820879      gentleman : 0.0820879     expedition : 0.0820879   
culturelle           ==> cultural : 0.122195       especially : 0.122195     context : 0.122195       
dépasser             ==> exceed : 0.580455         individuals : 0.0492562   meaning : 0.0492562      
satisfait            ==> with : 0.483079           state : 0.299511          up : 0.0434224           
bonne                ==> good : 0.536085           it : 0.352638             in : 0.0997175           
bavarois             ==> interior : 0.280977       well : 0.140488           schlögel : 0.140488      
quantitative         ==> as : 0.123832             which : 0.0408819         analysis : 0.0276168     
voulez               ==> represented : 0.0973232   might : 0.0973232         say : 0.0973232          
opinions             ==> views : 0.373443          at : 0.284503             opinion : 0.18256        
grossistes           ==> butchers : 0.148227       wholesalers : 0.0741137   tripe : 0.0741137        
reprenant            ==> white : 0.193546          use : 0.193546            need : 0.193546          
respectivement       ==> largest : 0.0609165       worldwide : 0.0609165     revision : 0.0609165     
fréquenter           ==> unfamiliar : 0.135632     keen : 0.135632           adopt : 0.135632         
dialogues            ==> dialogues : 0.297944      share : 0.0464676         into : 0.0464676         
briser               ==> went : 0.0588558          undermine : 0.0588558     through : 0.0588558      
contribuer           ==> be : 0.302261             believe : 0.233484        significant : 0.139465   
visant               ==> with : 0.256739           for : 0.201868            responsible : 0.131241   
prétendent           ==> who : 0.493678            for : 0.312023            looking : 0.0223537      
prison               ==> from : 0.311272           sake : 0.281686           imprisoned : 0.281686    
turquie              ==> turkey : 0.94021          s : 0.0597895             more : 3.51283e-08       
traitant             ==> leaves : 0.248463         dealing : 0.248463        with : 0.248463          
disons               ==> with : 0.635549           on : 0.0391305            favour : 0.0255037       
possible             ==> possible : 0.609176       as : 0.390579             to : 0.000244691         
acceptables          ==> acceptable : 0.665898     in : 0.334102             nos : 1.83384e-07        
appellent            ==> right : 0.20218           wage : 0.086787           defend : 0.086787        
poser                ==> idea : 0.267685           being : 0.267685          ask : 0.267685           
unique               ==> single : 0.861748         necessary : 0.137947      essential : 0.000295694  
obligeait            ==> times : 0.0545704         saint : 0.0545704         rule : 0.0545704         
fournir              ==> should : 0.39636          provide : 0.310135        providing : 0.20495      
fournis              ==> touching : 0.0729649      supplied : 0.0729649      purportedly : 0.0729649  
officiel             ==> admittedly : 0.0795949    exist : 0.0795949         practice : 0.0795949     
échelle              ==> scale : 0.256578          with : 0.217055           visible : 0.0550663      
fournit              ==> favour : 0.0961429        health : 0.0961429        weight : 0.0961429       
complexe             ==> complex : 0.41359         faced : 0.156157          recognised : 0.156157    
remédiera            ==> resolve : 0.2             offerings : 0.2           measures : 0.2           
subsiste             ==> potential : 0.0625486     whole : 0.0625486         mind : 0.0625486         
saillantes           ==> regards : 0.0789499       preferences : 0.0789499   noteworthy : 0.0789499   
froide               ==> cold : 0.485469           our : 0.210801            a : 0.164992             
enregistrés          ==> made : 0.64775            heard : 0.144638          combating : 0.0448429    
sacrédeus            ==> together : 0.142921       theorin : 0.142921        sacrédeus : 0.142921     
achètent             ==> buy : 0.118464            come : 0.118464           traced : 0.118464        
maintenait           ==> was : 0.100923            a : 0.0757609             method : 0.0706796       
transmise            ==> parliamentary : 0.25      naturally : 0.25          brought : 0.25           
annuaires            ==> as : 0.0970445            websites : 0.0849073      remove : 0.0849073       
unir                 ==> unite : 0.119663          obtain : 0.119663         inviolable : 0.119663    
verbales             ==> his : 0.103896            i : 0.103895              nature : 0.0519479       
télécommunications   ==> whole : 0.205348          telecom : 0.205348        matter : 0.205348        
fonctionnent         ==> taxpayers : 0.108933      bad : 0.108933            recognising : 0.108933   
attrayante           ==> variety : 0.108246        university : 0.108246     option : 0.108246        
disparité            ==> shape : 0.122104          discrepancy : 0.122104    curious : 0.122104       
précédentes          ==> past : 0.0804244          progressing : 0.0804244   exhaustive : 0.0804244   
proroger             ==> extend : 0.370718         being : 0.334075          up : 0.278369            
secundo              ==> accordance : 0.0603686    naval : 0.0603686         scope : 0.0603686        
prenne               ==> should : 0.34114          european : 0.309116       at : 0.170738            
exposition           ==> who : 0.0826979           studied : 0.0599452       script : 0.0599452       
exécutant            ==> shape : 0.14303           managerial : 0.14303      give : 0.14303           
foi                  ==> this : 0.341293           myself : 0.0986458        trust : 0.0986458        
expérience           ==> experience : 0.68403      believe : 0.25127         times : 0.0424056        
faiblesse            ==> weakness : 0.336325       weak : 0.27684            expose : 0.0434854       
annan                ==> situation : 0.0967099     not : 0.0604315           keep : 0.048355          
thérapeutique        ==> yield : 0.0445773         restricted : 0.0445773    emergence : 0.0445773    
lehne                ==> area : 0.142857           lehne : 0.142857          could : 0.142857         
remercions           ==> your : 0.338418           grateful : 0.329687       are : 0.324383           
cosignée             ==> signed : 0.116141         found : 0.116141          proposes : 0.116141      
chemins              ==> will : 0.572249           at : 0.426768             i : 0.000982474          
dollars              ==> is : 0.477374             taxes : 0.0537795         income : 0.0537795       
société              ==> society : 0.952507        are : 0.0474912           to : 1.68952e-06         
wurtz                ==> wurtz : 0.166666          withdraw : 0.166666       wish : 0.166666          
mondialisation       ==> reasons : 0.0769231       maintains : 0.0769231     job : 0.0769231          
suffisantes          ==> promised : 0.0939462      early : 0.0939462         bottom : 0.0939462       
soi                  ==> while : 0.371693          itself : 0.371662         to : 0.123737            
maxwell              ==> tyrants : 0.069708        try : 0.069708            thing : 0.069708         
sûrs                 ==> producers : 0.0799285     safe : 0.0799285          reversed : 0.0799285     
sol                  ==> substances : 0.0764605    soil : 0.0764605          novel : 0.0764605        
améliorent           ==> improve : 0.488481        s : 0.455847              up : 0.0485216           
son                  ==> its : 0.671332            to : 0.218202             the : 0.0544456          
essentiellement      ==> largely : 0.586741        a : 0.218623              for : 0.118644           
